#options: 1918x956 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=30 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=900 vbv_bufsize=1600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:110 out:110 type:B dur:2 cpbdur:2 q:31.26 aq:18.14 tex:402 mv:105 misc:533 imb:1 pmb:54 smb:7145 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:31.55 aq:30.09 tex:94 mv:134 misc:476 imb:1 pmb:52 smb:7147 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:31.52 aq:30.00 tex:0 mv:11 misc:365 imb:0 pmb:4 smb:7196 d:- ref:0 ;
in:114 out:113 type:P dur:2 cpbdur:2 q:29.29 aq:18.32 tex:111308 mv:2900 misc:3992 imb:317 pmb:1703 smb:5180 d:s ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:30.30 aq:29.32 tex:165 mv:145 misc:450 imb:4 pmb:45 smb:7151 d:s ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:29.86 aq:16.36 tex:35393 mv:977 misc:1886 imb:80 pmb:470 smb:6650 d:s ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:30.36 aq:27.79 tex:28 mv:41 misc:403 imb:2 pmb:7 smb:7191 d:s ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:30.73 aq:31.00 tex:2 mv:18 misc:380 imb:0 pmb:8 smb:7192 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:30.74 aq:31.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:29.90 aq:20.22 tex:31468 mv:1127 misc:1461 imb:156 pmb:372 smb:6672 d:s ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:30.23 aq:30.00 tex:11 mv:52 misc:433 imb:0 pmb:43 smb:7157 d:s ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:30.61 aq:32.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:30.61 aq:32.40 tex:306 mv:72 misc:430 imb:0 pmb:50 smb:7150 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:29.89 aq:20.59 tex:12147 mv:233 misc:1140 imb:9 pmb:224 smb:6967 d:s ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:29.93 aq:30.00 tex:0 mv:0 misc:368 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:29.93 aq:32.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:29.93 aq:32.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:29.32 aq:20.05 tex:35773 mv:856 misc:1427 imb:122 pmb:244 smb:6834 d:s ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:29.89 aq:28.72 tex:28 mv:71 misc:437 imb:1 pmb:42 smb:7157 d:s ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:29.89 aq:32.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:29.88 aq:32.00 tex:6 mv:57 misc:417 imb:0 pmb:43 smb:7157 d:- ref:0 ;
in:133 out:131 type:P dur:2 cpbdur:2 q:29.51 aq:19.60 tex:18798 mv:426 misc:984 imb:19 pmb:161 smb:7020 d:s ref:0 ;
in:131 out:132 type:B dur:2 cpbdur:2 q:29.51 aq:30.12 tex:10681 mv:595 misc:484 imb:17 pmb:43 smb:7140 d:s ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:29.51 aq:32.13 tex:779 mv:189 misc:456 imb:2 pmb:47 smb:7151 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:29.32 aq:17.00 tex:5806 mv:311 misc:955 imb:10 pmb:126 smb:7064 d:s ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:29.51 aq:25.14 tex:126 mv:51 misc:431 imb:0 pmb:22 smb:7178 d:s ref:0 ;
in:134 out:136 type:b dur:2 cpbdur:2 q:29.51 aq:31.42 tex:108 mv:52 misc:400 imb:0 pmb:21 smb:7179 d:s ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:29.51 aq:32.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:141 out:138 type:P dur:2 cpbdur:2 q:29.28 aq:18.17 tex:1494 mv:107 misc:599 imb:4 pmb:26 smb:7170 d:s ref:0 ;
in:139 out:139 type:B dur:2 cpbdur:2 q:29.32 aq:24.96 tex:29 mv:4 misc:375 imb:0 pmb:1 smb:7199 d:s ref:0 ;
in:138 out:140 type:b dur:2 cpbdur:2 q:29.32 aq:32.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:29.32 aq:32.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:29.41 aq:16.43 tex:7157 mv:243 misc:1048 imb:5 pmb:163 smb:7032 d:s ref:0 ;
in:143 out:143 type:B dur:2 cpbdur:2 q:29.48 aq:25.42 tex:101 mv:8 misc:387 imb:0 pmb:2 smb:7198 d:s ref:0 ;
in:142 out:144 type:b dur:2 cpbdur:2 q:29.48 aq:31.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:144 out:145 type:b dur:2 cpbdur:2 q:29.48 aq:31.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:149 out:146 type:P dur:2 cpbdur:2 q:28.62 aq:19.07 tex:26170 mv:871 misc:1895 imb:81 pmb:361 smb:6758 d:s ref:0 ;
in:147 out:147 type:B dur:2 cpbdur:2 q:29.41 aq:24.35 tex:49 mv:126 misc:465 imb:3 pmb:32 smb:7165 d:s ref:0 ;
in:146 out:148 type:b dur:2 cpbdur:2 q:29.41 aq:31.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:s ref:0 ;
in:148 out:149 type:b dur:2 cpbdur:2 q:29.41 aq:31.00 tex:4 mv:43 misc:441 imb:0 pmb:34 smb:7166 d:- ref:0 ;
in:153 out:150 type:P dur:2 cpbdur:2 q:28.41 aq:19.31 tex:18880 mv:683 misc:1413 imb:57 pmb:210 smb:6933 d:s ref:0 ;
in:151 out:151 type:B dur:2 cpbdur:2 q:28.89 aq:23.94 tex:64 mv:69 misc:467 imb:0 pmb:34 smb:7166 d:s ref:0 ;
in:150 out:152 type:b dur:2 cpbdur:2 q:28.90 aq:31.00 tex:7 mv:42 misc:439 imb:0 pmb:30 smb:7170 d:s ref:0 ;
in:152 out:153 type:b dur:2 cpbdur:2 q:28.89 aq:30.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:- ref:0 ;
in:157 out:154 type:P dur:2 cpbdur:2 q:28.35 aq:19.12 tex:25696 mv:721 misc:1879 imb:98 pmb:406 smb:6696 d:s ref:0 ;
in:155 out:155 type:B dur:2 cpbdur:2 q:28.96 aq:23.33 tex:61 mv:9 misc:394 imb:0 pmb:3 smb:7197 d:s ref:0 ;
in:154 out:156 type:b dur:2 cpbdur:2 q:29.43 aq:30.00 tex:0 mv:0 misc:352 imb:0 pmb:0 smb:7200 d:s ref:0 ;
